0.6073657274246216,0.4392886757850647,-0.23925890028476715;0.538429856300354,0.5011597275733948,-0.506579577922821;0.5723040103912354,0.570110559463501,-0.08269737660884857;0.5486496686935425,0.7595574855804443,-0.5093001127243042;0.5656262636184692,0.6897149682044983,-0.02615131251513958;0.6202567219734192,0.948173463344574,-0.5123335719108582;0.5161730051040649,0.6219779253005981,0.0778004452586174;0.4505601227283478,0.6364222764968872,-0.07773422449827194;0.5987398624420166,0.7916713356971741,-0.07344900071620941;0.4501707851886749,0.8475972414016724,-0.28279146552085876;0.5492497682571411,0.8697104454040527,0.12751980125904083;0.5241211652755737,0.894877552986145,0.07989714294672012;0.5366260409355164,0.871570348739624,0.15169252455234528;0.5371373891830444,0.878389835357666,0.12302858382463455;
0.5940753221511841,0.41967764496803284,-0.25104621052742004;0.5337288975715637,0.5214290022850037,-0.47798582911491394;0.560722291469574,0.5729780197143555,-0.11398227512836456;0.563572108745575,0.762050986289978,-0.4524848759174347;0.5574356913566589,0.6894842386245728,-0.08411765843629837;0.6185848116874695,0.9224016666412354,-0.4388043284416199;0.5121793746948242,0.6308571100234985,0.06876225024461746;0.44874879717826843,0.6475013494491577,-0.0686483234167099;0.5968948602676392,0.7764648199081421,-0.02079274319112301;0.4525068402290344,0.8591659665107727,-0.26309457421302795;0.5578141808509827,0.8905414342880249,0.1526215672492981;0.5132483243942261,0.9092922210693359,0.08312021940946579;0.5387747287750244,0.8980438709259033,0.1726355403661728;0.5194570422172546,0.8975300788879395,0.12364229559898376;
0.6121270060539246,0.45341020822525024,-0.2617684602737427;0.5294309258460999,0.5058790445327759,-0.5115666389465332;0.5808696150779724,0.5916060209274292,-0.10133619606494904;0.537075936794281,0.7597566843032837,-0.5153578519821167;0.5788395404815674,0.7030712366104126,-0.05307898297905922;0.6085729598999023,0.9484243988990784,-0.5337789058685303;0.5202626585960388,0.6246432662010193,0.07377774268388748;0.4502145051956177,0.6371312141418457,-0.0737028643488884;0.6008493304252625,0.7815883159637451,-0.08306107670068741;0.4651944041252136,0.8608804941177368,-0.2671496570110321;0.5487940907478333,0.8863523006439209,0.12563221156597137;0.5182580947875977,0.8939840197563171,0.10095881670713425;0.5332440733909607,0.8886764049530029,0.15079087018966675;0.5259866118431091,0.8711619973182678,0.14572422206401825;
0.613146185874939,0.445650577545166,-0.2760191559791565;0.5277475714683533,0.5044670104980469,-0.4955616891384125;0.5808036923408508,0.5760870575904846,-0.12470956146717072;0.5324522256851196,0.7491686344146729,-0.47665050625801086;0.576104998588562,0.68257075548172,-0.08916987478733063;0.5964822769165039,0.9113531708717346,-0.4731050431728363;0.5190752148628235,0.6229480504989624,0.06406784057617188;0.44926154613494873,0.6352078914642334,-0.0639612004160881;0.6008237600326538,0.7812970280647278,-0.10436633974313736;0.46534210443496704,0.8727030158042908,-0.2037544548511505;0.5607958436012268,0.9007813930511475,0.11890716850757599;0.477743536233902,0.9304673671722412,0.1268692910671234;0.5447595715522766,0.905719518661499,0.14425016939640045;0.47795283794403076,0.9149066209793091,0.16518309712409973;
0.5970578789710999,0.41418832540512085,-0.2564159035682678;0.5239791870117188,0.5180643796920776,-0.4740520715713501;0.5590833425521851,0.5496706366539001,-0.11385870724916458;0.521601140499115,0.7599620223045349,-0.4225144684314728;0.55880206823349,0.6715362668037415,-0.08604829758405685;0.5733226537704468,0.9204664826393127,-0.3715105652809143;0.516790509223938,0.6158832907676697,0.07359075546264648;0.4497569501399994,0.644469141960144,-0.07344061881303787;0.6076852083206177,0.7715245485305786,-0.009465109556913376;0.48292115330696106,0.8918428421020508,-0.1828497052192688;0.5455122590065002,0.8666189908981323,0.2576056718826294;0.4805491268634796,0.9557732343673706,0.16668179631233215;0.5278377532958984,0.8648609519004822,0.2882598638534546;0.4783903956413269,0.9373495578765869,0.20847001671791077;
0.6001617908477783,0.4122127890586853,-0.23783889412879944;0.530100405216217,0.5215088129043579,-0.4603918790817261;0.5614546537399292,0.5607719421386719,-0.09745372831821442;0.5392584204673767,0.7764854431152344,-0.43239596486091614;0.5565617084503174,0.6813246607780457,-0.044434744864702225;0.5922842025756836,0.9819807410240173,-0.38960200548171997;0.5171853303909302,0.618134081363678,0.07369936257600784;0.4495157301425934,0.6568393707275391,-0.07358089089393616;0.6066952347755432,0.7835932970046997,-0.035212669521570206;0.4919474720954895,0.8759721517562866,-0.23749381303787231;0.5296041369438171,0.8963057994842529,0.24365383386611938;0.4878326654434204,0.9657014012336731,0.14131422340869904;0.5077810883522034,0.8897891044616699,0.2767258882522583;0.4799763262271881,0.9460164904594421,0.1878264993429184;
0.5867069959640503,0.4188656806945801,-0.21273237466812134;0.5258986949920654,0.5090358257293701,-0.46281740069389343;0.5538297295570374,0.5710005760192871,-0.08355506509542465;0.5258887410163879,0.7615546584129333,-0.4520781636238098;0.5652278661727905,0.687734067440033,-0.05984588339924812;0.587637722492218,0.9843123555183411,-0.42779213190078735;0.5133935213088989,0.6273356676101685,0.07934114336967468;0.45187175273895264,0.6600925922393799,-0.0792561024427414;0.6052878499031067,0.7851921319961548,-0.026813607662916183;0.5014705061912537,0.8836961984634399,-0.22918172180652618;0.5270570516586304,0.9211071729660034,0.2369937002658844;0.4897831976413727,1.0065603256225586,0.06549933552742004;0.5056280493736267,0.9219603538513184,0.26669520139694214;0.4782857298851013,0.9943382143974304,0.10187278687953949;
0.5896275043487549,0.40757688879966736,-0.22127103805541992;0.523266613483429,0.5150103569030762,-0.45774486660957336;0.5418176651000977,0.56496262550354,-0.07860112190246582;0.5149692296981812,0.7604860663414001,-0.4397945702075958;0.5532882213592529,0.6953129768371582,-0.017847532406449318;0.5745353102684021,0.9640727639198303,-0.41555240750312805;0.507164478302002,0.6182506084442139,0.07688570022583008;0.44979196786880493,0.6601322293281555,-0.076791912317276;0.6000127792358398,0.7641181349754333,-0.02727332152426243;0.5142142176628113,0.8764822483062744,-0.22728249430656433;0.5280528664588928,0.903537392616272,0.24941584467887878;0.49215200543403625,0.9425288438796997,0.15547840297222137;0.5057042837142944,0.9021885395050049,0.28200265765190125;0.4814814031124115,0.9219517707824707,0.20299606025218964;
0.5688103437423706,0.390193372964859,-0.16828522086143494;0.5088164806365967,0.5136669874191284,-0.36041417717933655;0.5551742315292358,0.5341376066207886,-0.008221504278481007;0.49743565917015076,0.7309806942939758,-0.34074074029922485;0.5759420394897461,0.5839583277702332,0.05892595276236534;0.5510905385017395,0.9441341161727905,-0.35003334283828735;0.502236008644104,0.5988561511039734,0.06688340753316879;0.457237184047699,0.6683499813079834,-0.06658831238746643;0.598171591758728,0.6930650472640991,0.19369392096996307;0.539236307144165,0.848320722579956,-0.03349195048213005;0.5615793466567993,0.7933719158172607,0.3551224172115326;0.5272051095962524,0.872156023979187,0.2120676189661026;0.5391561985015869,0.7981856465339661,0.37310659885406494;0.5150173902511597,0.868302583694458,0.24168922007083893;
0.568984866142273,0.41702431440353394,-0.16301745176315308;0.5075479745864868,0.48139625787734985,-0.3455491065979004;0.5456416010856628,0.5552006959915161,-0.03926916420459747;0.4995422661304474,0.7030832767486572,-0.3093360364437103;0.5743511915206909,0.6458080410957336,-0.006415503099560738;0.536418616771698,0.8923543691635132,-0.31747955083847046;0.4933268129825592,0.6069992184638977,0.061826083809137344;0.4534440040588379,0.6600661277770996,-0.06148707866668701;0.5679128170013428,0.6913802027702332,0.2374129444360733;0.5192437171936035,0.8441301584243774,0.03711938485503197;0.5669988989830017,0.8105038404464722,0.3882425129413605;0.5345370769500732,0.9072648286819458,0.2371210902929306;0.5495110750198364,0.8251829743385315,0.40277644991874695;0.5267921090126038,0.9141861796379089,0.2584168314933777;
0.5712829232215881,0.40448465943336487,-0.13644172251224518;0.4991843104362488,0.4561135768890381,-0.3392125070095062;0.5491482615470886,0.5163428783416748,-0.004288865253329277;0.46834293007850647,0.6392043828964233,-0.29918304085731506;0.5681806206703186,0.5899554491043091,0.027086134999990463;0.5085455775260925,0.7534130811691284,-0.28883230686187744;0.5101222395896912,0.6109889149665833,0.06147075816988945;0.4570063054561615,0.6583498120307922,-0.06108255684375763;0.5663222074508667,0.6980271339416504,0.14951582252979279;0.49266570806503296,0.8402299284934998,-0.1459018439054489;0.5615354180335999,0.7990149855613708,0.3698790669441223;0.5357412695884705,0.9223368763923645,0.051473814994096756;0.5479496717453003,0.8147971630096436,0.39300811290740967;0.5328442454338074,0.9310475587844849,0.07351095229387283;
