0.5614481568336487,0.35532787442207336,-0.018321774899959564;0.4194320738315582,0.343622624874115,-0.04429665580391884;0.5591416358947754,0.550888180732727,-0.05253167822957039;0.4154556393623352,0.5618818998336792,-0.1087869182229042;0.5170512199401855,0.7042597532272339,-0.20539088547229767;0.46869125962257385,0.6920421719551086,-0.2502131462097168;0.5268680453300476,0.6974779963493347,0.0028312532231211662;0.44086360931396484,0.6993736624717712,-0.003046393394470215;0.6590563058853149,0.7907639145851135,-0.3004414737224579;0.3061748743057251,0.7773138284683228,-0.28655076026916504;0.49059611558914185,0.8213376402854919,-0.13730596005916595;0.49252501130104065,0.8035549521446228,-0.12788377702236176;0.47192150354385376,0.7816178798675537,-0.11103223264217377;0.5015442967414856,0.763670802116394,-0.09959813952445984;
0.560907781124115,0.3541013300418854,-0.023500435054302216;0.41884645819664,0.34389638900756836,-0.049307242035865784;0.5582736730575562,0.5517023801803589,-0.05610456317663193;0.4150959849357605,0.5617122650146484,-0.11346083879470825;0.5175861120223999,0.7076655626296997,-0.21095344424247742;0.46907272934913635,0.6932410001754761,-0.25586599111557007;0.5273491144180298,0.6975667476654053,0.0028360970318317413;0.4411701261997223,0.7003154754638672,-0.0030428548343479633;0.6599424481391907,0.791688084602356,-0.2997998893260956;0.30730968713760376,0.777177095413208,-0.2810128927230835;0.4903532862663269,0.8230626583099365,-0.13537906110286713;0.4896309971809387,0.8065472841262817,-0.1244271844625473;0.4745468497276306,0.7840690016746521,-0.10896973311901093;0.4989081919193268,0.761988639831543,-0.09644603729248047;
0.5623285174369812,0.35414621233940125,-0.01761283352971077;0.421609491109848,0.3421972990036011,-0.03649859502911568;0.55998694896698,0.5571098327636719,-0.04932780563831329;0.4162478446960449,0.5650620460510254,-0.09467488527297974;0.5130394697189331,0.708427906036377,-0.2040431946516037;0.46938127279281616,0.70191490650177,-0.23269334435462952;0.5288299918174744,0.7011486291885376,0.0017799881752580404;0.4424130916595459,0.7055070996284485,-0.001997034065425396;0.6589028835296631,0.7930819988250732,-0.33313626050949097;0.3046293258666992,0.7758709192276001,-0.2916977107524872;0.47903886437416077,0.8301609754562378,-0.1617770940065384;0.48415952920913696,0.8097869157791138,-0.13215716183185577;0.4664822220802307,0.7807862758636475,-0.13407902419567108;0.49824053049087524,0.7673905491828918,-0.10376695543527603;
0.5615428686141968,0.35038185119628906,-0.0006807551835663617;0.4205082356929779,0.3444860875606537,-0.02337932027876377;0.5618331432342529,0.5577057600021362,-0.032192278653383255;0.4166555404663086,0.5659772753715515,-0.07194004952907562;0.5142989754676819,0.7115544080734253,-0.1871013641357422;0.4713207185268402,0.7027649283409119,-0.20429246127605438;0.530071496963501,0.6982996463775635,0.0020230612717568874;0.44334059953689575,0.7007816433906555,-0.0021885710302740335;0.6597675085067749,0.7977887392044067,-0.33074021339416504;0.3074343800544739,0.770983099937439,-0.3205609917640686;0.4772811830043793,0.8239266872406006,-0.16073177754878998;0.48977699875831604,0.8033857345581055,-0.14899912476539612;0.46353140473365784,0.768062949180603,-0.132413849234581;0.5029686093330383,0.7632709741592407,-0.11845550686120987;
0.5608544945716858,0.35089197754859924,-0.02329327166080475;0.41973233222961426,0.3512682020664215,-0.04546545445919037;0.5630925893783569,0.5615874528884888,-0.05841640383005142;0.4175185561180115,0.5701987743377686,-0.10453464835882187;0.5103768110275269,0.7141715884208679,-0.2245817631483078;0.4731535017490387,0.7046709060668945,-0.25093743205070496;0.5295455455780029,0.6990317702293396,0.0033687283284962177;0.44273170828819275,0.701684296131134,-0.0035212007351219654;0.658405601978302,0.7974136471748352,-0.33878231048583984;0.30653372406959534,0.769527792930603,-0.329376757144928;0.47707492113113403,0.8312263488769531,-0.1656007170677185;0.4957659840583801,0.7891086339950562,-0.1453981101512909;0.462785005569458,0.7805922031402588,-0.13743190467357635;0.4992590546607971,0.7605540156364441,-0.1139405220746994;
0.5597889423370361,0.3516145944595337,-0.025067541748285294;0.41923704743385315,0.3529668152332306,-0.043823983520269394;0.5627105236053467,0.5552650690078735,-0.05787135288119316;0.41628822684288025,0.5721697807312012,-0.10523226112127304;0.5115379691123962,0.7106708288192749,-0.22788794338703156;0.4694285988807678,0.7024761438369751,-0.26315054297447205;0.5291948318481445,0.7030385732650757,0.0029310232494026423;0.44191068410873413,0.7062370181083679,-0.003058335045352578;0.6596947908401489,0.7941362261772156,-0.35535240173339844;0.30703985691070557,0.7694311141967773,-0.3360751271247864;0.4783017635345459,0.8300965428352356,-0.1800568550825119;0.49198538064956665,0.8025844097137451,-0.15393619239330292;0.46237269043922424,0.7866529822349548,-0.152125284075737;0.49548110365867615,0.7653253078460693,-0.1230536699295044;
0.5599696636199951,0.35063067078590393,-0.016763318330049515;0.41913312673568726,0.3507727086544037,-0.032762400805950165;0.5612796545028687,0.5578522086143494,-0.0461280420422554;0.4156091809272766,0.568703293800354,-0.08410786092281342;0.509963870048523,0.7131891250610352,-0.20012864470481873;0.4702576994895935,0.7024997472763062,-0.22134871780872345;0.5301100611686707,0.7006468176841736,0.0022314232774078846;0.44270485639572144,0.7045563459396362,-0.0023660575971007347;0.6602897644042969,0.7951679825782776,-0.3526250422000885;0.3079017996788025,0.7676858901977539,-0.33201339840888977;0.4747273921966553,0.8293800950050354,-0.18412743508815765;0.49485835433006287,0.7976188659667969,-0.1572944074869156;0.45795321464538574,0.7850454449653625,-0.15648327767848969;0.5009459257125854,0.7616585493087769,-0.12652374804019928;
0.5588235259056091,0.3478737771511078,-0.013337877579033375;0.416299045085907,0.35048994421958923,-0.04133254289627075;0.5602510571479797,0.5616464614868164,-0.03809024393558502;0.41737914085388184,0.5728681683540344,-0.08187343925237656;0.5102747082710266,0.7174713015556335,-0.1831456422805786;0.4753039479255676,0.7087259292602539,-0.19786271452903748;0.5300678610801697,0.7018442749977112,0.0030293583404272795;0.44222012162208557,0.7051544189453125,-0.0031710523180663586;0.6582388877868652,0.7968494892120361,-0.3487962782382965;0.3070599436759949,0.7704264521598816,-0.33687856793403625;0.47239136695861816,0.8301069736480713,-0.1791049987077713;0.4963403344154358,0.7961081862449646,-0.16283181309700012;0.45764580368995667,0.780486524105072,-0.15080967545509338;0.5027198791503906,0.7621146440505981,-0.13184964656829834;
0.5567687749862671,0.3480299413204193,-0.006812352687120438;0.4168965220451355,0.35012760758399963,-0.04137064516544342;0.5592689514160156,0.5582558512687683,-0.033006079494953156;0.41656988859176636,0.5699905157089233,-0.08350176364183426;0.5096350312232971,0.7140458822250366,-0.18593329191207886;0.4728206992149353,0.7059258222579956,-0.2033683955669403;0.5275091528892517,0.7006288170814514,0.004242502618581057;0.4405975341796875,0.704026997089386,-0.004356407560408115;0.6599083542823792,0.7964656352996826,-0.3431980311870575;0.3074497580528259,0.7675656676292419,-0.33734044432640076;0.4747661054134369,0.8303766250610352,-0.17242419719696045;0.4941408634185791,0.7951231002807617,-0.16212224960327148;0.46062716841697693,0.7795019149780273,-0.1444355547428131;0.5001403093338013,0.7609204053878784,-0.13166265189647675;
0.5554231405258179,0.3469468057155609,-0.010813912376761436;0.41366538405418396,0.3515084981918335,-0.05399446561932564;0.5570072531700134,0.5542528629302979,-0.0421932116150856;0.41860705614089966,0.5721322894096375,-0.09882368892431259;0.5101666450500488,0.7125800848007202,-0.18517769873142242;0.4765337407588959,0.7100251317024231,-0.2053690254688263;0.526186466217041,0.7001701593399048,0.0039698537439107895;0.439706414937973,0.7034652829170227,-0.00408718129619956;0.6595878005027771,0.7957218885421753,-0.3307938277721405;0.30603569746017456,0.7724422216415405,-0.33304286003112793;0.47458329796791077,0.8194336891174316,-0.1546882838010788;0.4933357834815979,0.7911226153373718,-0.15573808550834656;0.46093201637268066,0.7622359991073608,-0.12608037889003754;0.4986323416233063,0.7590878009796143,-0.1247575506567955;
0.552686333656311,0.3407990038394928,-0.03325831517577171;0.4129202961921692,0.34894707798957825,-0.09959841519594193;0.5528459548950195,0.5463747978210449,-0.05964135378599167;0.4178169369697571,0.5743342041969299,-0.14368410408496857;0.5126916170120239,0.7155259251594543,-0.18462976813316345;0.48130592703819275,0.7036111354827881,-0.22891704738140106;0.524628221988678,0.69141685962677,0.009921038523316383;0.4388572573661804,0.6932882070541382,-0.010055153630673885;0.6585593223571777,0.7880028486251831,-0.2866067886352539;0.3035483658313751,0.7744053602218628,-0.2858254909515381;0.48819684982299805,0.8109824061393738,-0.12641212344169617;0.4901823401451111,0.8038706183433533,-0.14384447038173676;0.4705278277397156,0.780911922454834,-0.10040239989757538;0.5040813684463501,0.759670078754425,-0.1171739250421524;
0.5544561743736267,0.34142908453941345,-0.054697681218385696;0.413041889667511,0.3479136824607849,-0.10832589864730835;0.5543420910835266,0.5412447452545166,-0.09082632511854172;0.41922512650489807,0.5737584829330444,-0.16440756618976593;0.5146011114120483,0.7130054235458374,-0.22387468814849854;0.4836602807044983,0.7031853795051575,-0.26265546679496765;0.5243518948554993,0.6946831941604614,0.007515710778534412;0.4376702904701233,0.6962200403213501,-0.007675213273614645;0.6585389971733093,0.7887923121452332,-0.2788330018520355;0.3060982823371887,0.7717645168304443,-0.2754180133342743;0.49151769280433655,0.8126015663146973,-0.12011738121509552;0.48451608419418335,0.7957180738449097,-0.12126721441745758;0.4741574227809906,0.7829017043113708,-0.09438559412956238;0.4954651892185211,0.7595318555831909,-0.09340403974056244;
0.5524783730506897,0.3440362513065338,-0.04621114209294319;0.41128721833229065,0.3529844284057617,-0.09133203327655792;0.5532404184341431,0.5410424470901489,-0.08276771008968353;0.41841667890548706,0.5756985545158386,-0.1537778377532959;0.5174985527992249,0.7068787813186646,-0.23042349517345428;0.474278062582016,0.6986309289932251,-0.2756236791610718;0.5240662097930908,0.6941877007484436,0.00483601912856102;0.4387776851654053,0.6979789733886719,-0.004970279056578875;0.6609921455383301,0.7838289737701416,-0.2826937735080719;0.3072783946990967,0.772827684879303,-0.2693323493003845;0.4948434829711914,0.811568021774292,-0.11306171119213104;0.48576849699020386,0.8123385906219482,-0.1216825619339943;0.47885075211524963,0.7800047993659973,-0.08643019199371338;0.49659091234207153,0.7779812216758728,-0.09504241496324539;
